,Algo,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
36,DecisionTree_surf_256,83.33,82.65,81.2,87.0,81.2,81.2,75.13,76.45,72.1,73.71,71.43,73.02,82.47,83.84,70.36,71.9,71.43,73.02
37,DecisionTree_surf_64,83.57,81.72,81.2,0.0,80.08,81.2,79.66,80.86,77.54,78.99,76.96,78.42,84.79,86.16,75.78,77.24,76.96,78.42
38,DecisionTree_surf100_128,83.03,81.62,82.76,89.17,80.39,82.76,78.4,79.64,75.95,77.46,75.02,76.57,84.2,85.48,74.31,75.83,75.02,76.57
39,DecisionTree_surf100_256,80.68,79.5,79.09,89.02,77.29,79.09,76.29,77.5,73.52,75.03,72.49,73.93,82.78,84.13,71.77,73.2,72.49,73.93
40,DecisionTree_surf100_64,84.23,83.8,81.63,92.42,81.13,81.63,78.19,79.34,75.18,76.68,74.06,75.52,84.33,85.62,73.51,74.98,74.06,75.52
41,DecisionTree_surf50_128,79.35,77.65,76.17,88.18,75.5,76.17,73.96,75.17,70.59,72.14,69.06,70.53,82.52,83.83,68.49,69.94,69.06,70.53
42,DecisionTree_surf50_256,77.56,77.61,73.71,85.76,73.55,73.71,73.41,74.7,69.73,71.38,68.61,70.22,81.29,82.64,67.92,69.5,68.61,70.22
43,DecisionTree_surf50_512,75.9,71.89,71.63,85.53,71.11,71.63,70.38,71.73,66.03,67.74,64.97,66.55,78.74,80.24,64.38,65.97,64.97,66.55
44,DecisionTree_surf50_64,81.45,79.24,79.96,0.0,78.87,79.96,75.45,76.69,72.27,73.85,70.89,72.38,82.68,83.99,70.44,71.93,70.89,72.38
45,DecisionTree_surf0_1024,77.01,74.59,73.3,85.53,72.54,73.3,68.41,69.76,63.91,65.61,63.24,64.87,77.42,78.91,62.21,63.81,63.24,64.87
46,DecisionTree_surf0_128,81.03,79.2,76.97,88.18,76.47,76.97,76.32,77.61,73.25,74.86,72.22,73.78,82.64,83.98,71.69,73.23,72.22,73.78
