,Algo,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC
133,RandomForest surf0 128,90.34,91.15,87.0,95.83,87.98,87.0
134,RandomForest surf0 256,88.33,89.95,87.08,94.92,86.78,87.08
135,RandomForest surf0 512,88.25,85.88,85.8,96.67,84.99,85.8
136,RandomForest surf0 64,89.57,88.79,87.88,92.42,87.3,87.88
137,RandomForest orb 128,87.22,87.16,85.83,93.33,85.45,85.83
138,RandomForest orb 256,84.12,82.41,81.67,89.17,80.85,81.67
139,RandomForest orb 64,86.03,86.35,87.0,0.0,84.57,87.0
140,RandomForest brisk 128,81.76,80.38,76.58,91.67,77.1,76.58
141,RandomForest brisk 256,0.0,80.46,73.33,92.0,73.88,73.33
142,RandomForest brisk 64,82.35,82.0,78.7,0.0,78.87,78.7
143,RandomForest kaze 128,84.79,85.54,82.0,90.83,81.04,82.0
144,RandomForest kaze 256,82.56,83.04,79.58,0.0,79.32,79.58
145,RandomForest kaze 64,85.26,83.0,80.42,0.0,81.09,80.42
146,RandomForest akaze 128,82.87,84.44,79.13,90.76,79.33,79.13
147,RandomForest akaze 256,84.01,82.66,83.46,90.83,81.22,83.46
148,RandomForest akaze 64,84.04,83.37,79.96,91.67,79.86,79.96
